'^(def|class)\\s+'	167,468,640,659,703,1322
'(.+)((19|2\\d)\\d\\d)'	1589
'(.*(\\s+|[*]))(\\w+)$'	356
u'([^ ]+) *(\\+\\+|--)'	1422
'\\b(?:20|19)\\d{2}\\b'	1492
'((?:^| +)\\|(?: +|$))'	1555
'("(\\\\.|[^"\\\\])*")'	539
'(.*)\\s(ASC|DESC)(.*)'	1158
'404 (Not Found|error)'	1248
'((\\\\.|[^#])*)(#.*)?'	1248
'^(scsi|ide)[0-9]+[^:]'	562
'(?:set|add)($|[A-Z_])'	1322
u'.*([-.*?]|\\[.+\\]).'	737
'/{1,2}.*?(?=/{1,2}|$)'	436
'(ir|res|webdav)(\\W|$)'	731
'^(@|<|>|-|!|\\.)(\\s)*'	842
'(?:\\r\\n|\\r|\\n|\\Z)'	53
'auto(bench|test)_args:'	560
u'.+?(--.+?)(?:\\s|,|$)'	1580
'r?u?(\\\'\\\'\\\'|""")'	1247
'^(812|813|811|495|499)'	1122
'.*?Pentium.*?(IV|4)\\b'	356
'\\s*("[^"]*"|.*?)\\s*,'	1118
'<(?:/|)(\\w+).*(?:/|)>'	1076
'\\(\\s*([*]|[:])\\s*\\)'	356
'^\\w+:/*(\\w+:|www\\.)?'	220
'^(?:salt|https?|ftp)://'	1491
'</(ENAMEX|NUMEX|TIMEX)>'	1488
'&#(\\d+|x[0-9a-fA-F]+);'	220
'^(test|xen|kvm|vmware)$'	1353
'(\\.pc|/bin/.+-config)$'	1226
'\\s*#\\s*(elif|else)\\b'	1007
'((the|a|an)\\s+)?[0-9]+'	360
'^(?:\\"|\\\\|\\d\\d\\d)'	135
'(case\\s+.+|default)\\:'	498
'(?i)^sub(s|(titles?))?$'	1303
'^.*<\\s*html(\\s*|>).*$'	336
'\\.egg(?:-info)?(?:/|$)'	944
'^((?!\\.).)*\\.(py|sh)$'	1384
'\\\\([0-3][0-7][0-7]|.)'	1495
'^(join|order)\\((.*)\\)$'	1302
'&_(uniq|salt|dc)=[0-9.]+'	1448
'\\s*(([^,]|(,\\s*\\d))+)'	1500
'^(Index|diff).*\\s+(.+)$'	498
'&(?!amp|gt|lt|apos|quot)'	1248
'\\.([a-z]{2,3})(?:\\?|$)'	913
'(?:[.~]|/[a-zA-Z_0-9]+)/'	747
'^(HTTP/1.[0-1]|GET|POST)'	1375
'\\b(?:directory|file)\\b'	1300
'^((?:(?:m)|(?:col))\\d+)'	1153
'(\\D|^)\\d{1,2}\\W*\\d00'	1122
'^(?!.*(Win64|x64))Win.*$'	872
'\\$((Id|File|Log).*?)\\$'	43
'%(?:hook|ctor|init|c\\()'	1555
'(?:\\n|^)(File (.*?))\\n'	679
'(?:[~#]|\\.py[co]|\\.o)$'	356
'item=("[^"]+"|\'[^\']+\')'	1248
'^(unsigned)? ?(int|long)$'	1291
'(from|import)\\s+werkzeug'	992
'.*[<]KILLLINE[>].*(\\n|$)'	356
'[$_]?(?:is|has)($|[A-Z_])'	1025
'(AppKit|Foundation)\\.doc'	324
'(?:(?:\\w|-)+\\.){2,}\\w+'	897
u'(?:\\s*).+?\\.(?:\\s+|$)'	971
u'(?:\\.svg|\\.png|\\.jpg)'	1100
'^(.*, |)([a-zA-Z0-9_*]+)='	1087
'(module|def|class) (\\w*)'	1130
'(^|\\\\\\/)\\\\\\*\\\\\\*$'	1007
'(triangulo|trapecio): (.*)'	982
'(\\x0d\\x0a|[\\x0d\\x0a])$'	1386
'(varchar|char)\\((\\d+)\\)'	1495
'^(?:M|A)(\\s+)(?P<name>.*)'	1325
'(?<=nm|tt|ch)([0-9]{7})\\b'	1469
'[$_]?(?:set|add)($|[A-Z_])'	1025
'^([0-9a-fA-F]{2}(:|$)){6}$'	1644
'<EMAIL>[^<]*(<\\/EMAIL>|$)'	1001
'^(?:app|lib)\\/(.*?)\\.rb$'	1025
'^(given|when|then|and)\\s?'	1005
'\\d+\\.(?:jpg|gif|png|jpeg)'	1173
'<br>(\\.\\.\\.|   ).+?</li>'	1469
'(file|http|ftp|gopher):(.+)'	866
'\\s*(CREATE|ALTER|DROP)\\s+'	284
'(?: \\d{5}| \\d{5}-\\d{4})$'	265
'([^_]|^)___(.+?)___([^_]|$)'	738
'\\\\([ \tn\\\\]|[0-7]{3,3})'	27
'(?:\\n|^)(# file: (.*?))\\n'	679
'(^|[\\W_])trailer\\d*[\\W_]'	1469
'(http://)?localhost([:/]|$)'	350
'-?(\\d+\\.(\\d+)?|\\.?\\d+)'	1340
'^(0[xX][0-9a-fA-F]+|[0-9]+)'	891
'\\.(js|jsm|java)(?:\\.in)?$'	1007
'(\\S+)\\s+(\\S+)(,| )( .*)?'	1247
"(^|[^'])'''(.+?)'''($|[^'])"	738
'((?:"[^"]+"|[^,"]+)+)\\s*,?'	1249
'^(=|-|~|`|#|"|\\^|\\+|\\*)+'	31
'EPSG\\:(3857|102100|102113)'	740
'"(png|jpeg|csv|netcdf|tiff)"'	1385
';?\\s*end(\\.|,|&|\\||\\s|$)'	407
'[ \\f\\t]*(?:\\r\\n|\\r|\\n)'	53
'^.*(\\d+){(\\+|-?)(\\d+)}.*$'	1644
'\\.(gz|z|Z|zip|bz2|lzma|xz)$'	1226
"(\\w+)\\'(m|re|d|ve|s|ll|t)?"	255
'.*?/(app|config|db)/.*?\\.rb'	1025
'\\d+s\\.(?:jpg|gif|png|jpeg)'	1173
'^TEST-(PASS|EXPECTED-FAIL).*'	695
'^(boot(\\.\\d+)?$|kernel\\.)'	560
'^(.*?)(\\.|)(\\w?[\\w\\d]*)$'	1594
'^.*(default:\\s*|case.*:.*)$'	407
'^([ >]*)(import|from) +nifti'	975
'[-d]  (setuptools|distribute)'	313
'gvsearch(\\d+|all)?:[\\s\\S]+'	386
'(Senator|Representative) (.*)'	182
u'(\\b|_)([^\\b_\\s]+?)(\\b|_)'	888
'(?<=\\(|\\))[a-z|A-Z]*(?=\\()'	152
'([\\d\\:]+ (PM|AM)) ([\\w ]+)'	1192
'((?:[^ \\t\\.#]|\\.\\.)+)(.*)'	338
'(setuptools|distribute)-\\S+-'	313
'\\b(nm|tt|ch|co)([0-9]{7})\\b'	1469
'([1-9][0-9]*)([DdHhMm]|[sS]?)'	1074
'/(export|browser|file)(/.*)?$'	1258
'\\.((dll)|(DLL)|(drv)|(DRV))$'	93
'yvsearch(\\d+|all)?:[\\s\\S]+'	386
'ytsearch(\\d+|all)?:[\\s\\S]+'	386
'/report(?:/(?:([0-9]+)|-1))?$'	1258
'%([A-Z]), +[$](0|[1-9][0-9]*)'	1260
'\\\\_\\w*\\.(eps|png|jpg|gif)'	1247
'\\s*#\\s*(if|ifdef|ifndef)\\b'	1007
'^/etc/(g?shadow-?|securetty)$'	1226
'^(describe|it|before|after)\\b'	407
'.*Video: .+, (.+) (?:fps|tb).*'	53
'/[*]+(?:[^*]+|[*]+[^/*])*[*]+/'	1023
'AJS\\.([\\w_$]*?)(?:\\(|,|\\.)'	56
'(vote|vote:|topic|topic:)(\\s)'	275
u'{{[^}]*(?:stubb|spire)[^}]*}}'	1100
'(block|unblock) (\\d+) (\\d+)$'	1403
'\\sdo(\\s+\\|.*?\\|)?\\s*(#|$)'	407
'&#(?:[0-9]+|[xX][0-9a-fA-F]+);'	330
'.*(\\.ipy|\\.ipynb|\\.py[w]?)$'	1580
'\\[(\\d+):(\\d\\d)(\\.\\d+|)\\]'	1431
'(~|\\#[^/]+\\#|\\.orig|\\.rej)$'	1226
'(?:FROM|JOIN) `(?P<table>\\w+)`'	477
'(|.*/)applications/(?P<a>[^/]+)'	1247
'([.#])((?:[^ \\t\\.#]|\\.\\.)+)'	338
'((?:<br />)+)(</(?:font|span)>)'	1258
'@(interface|protocol)\\s+(\\w+)'	292
'^#!\\s*/usr/bin/vm(ware|player)'	562
'^https?:\\/\\/(:?localhost|127)'	1523
'(src|href)\\=([\\\'"]?)/?files/'	1580
'^(?P<value>\\d+)(?P<unit>%|px)$'	928
'^(\\w\\w\\w\\w)(?:$|\\s+|_)(.*)'	1302
'^.*?(?P<version>(\\d|\\.)+).*?$'	542
'\\s*(([\\\'"])\\2)\\s*([},=]|$)'	727
'(http://|https://|ftp://)(\\S*)'	275
'(?is)</font>(.*?)(?:</UL>|</p>)'	55
'\\(pymacs-(defun|python) [0-9]*'	297
'^(scsi|ide)([0-9]+):([0-9]+)\\.'	562
'(ir|res|workflow|webdav)(\\W|$)'	231
'(.+_id|id)([mp]?\\d+)((?:-bb)?)'	241
'^(?P<op>=|[<>!]=?)?(?P<ver>.*)$'	1025
'\\<(and|for|of|s|set|the|vs)\\>'	771
'(?:aka) <em>"(.*?)(<br>|<\\/td>)'	1469
'@(?:end|implementation|protocol)'	1555
'\\$\\(([^\\$]|\\$[^\\(])*?\\$\\)'	743
'(Input \\#.*)\n(Must|At\\sleast)'	415
'(id|driver|mac|drive)=([^,\\s]+)'	560
'(\\s+|\\A)#([a-zA-Z0-9\\-_]*)\\b'	265
'((?:[^,{}]|(?:{[^{}]*}))+),?\\s*'	1249
'(^|\\s)([\\w]+)(\\++)($|\\s|\\,)'	1027
'Got (setuptools|distribute) \\S+'	313
'^[ ]{4,7}((\\d+\\.)|[*+-])[ ]+.*'	236
'(^|\\\\\\/)\\\\\\*\\\\\\*\\\\\\/'	1007
'([^= ]+)=(?:"([^"]*)"|([^,]+)),?'	557
'\\s*"(([^"]|(\\\\"))*)(?<!\\\\)"'	276
'\\s+(\\w+)\\s+"(&#\\w+;|[^&"]*)"'	220
'^([^}{]*?[^;,}{\\s])\\s*(?=\n|$)'	1025
'^([^\\[\\]]+|\\[[^\\[\\]]*\\])*$'	1248
'(\\s+|\\A)@([a-zA-Z0-9\\-_]*)\\b'	265
'^\\s*?([*]|/\\*\\*)(?P<line>.*?)'	706
'-?([0-9]+(\\.[0-9]*)?|\\.[0-9]+)%'	729
'(.*?)(?:@2x|~iphone|~ipad)*\\.png'	724
'\\.(?!\\\\(\\\\\\\\)*($|[^\\\\]))'	1248
'(\\d*.?\\d+).(h|hr|hrs|mins|min)+'	1469
'([a-z]+)=(".*?"|[^,]*)(?:\\Z|, *)'	1495
'AJS.Class =(.|\n)*\n};//End class'	56
'([^\\s]*)\\s*(\t|  )\\s*([^\\s]*)'	1322
'((?:\\[|&lt;)[a-z0-9]+?(?:\\]|>))'	169
' color="#(?:6666CC|333366)"[^>]*>'	55
'(.+)[.](proto|impl|init|cleanup)$'	1621
'(public|private|protected)\\s*\\:'	498
'(?P<NCName>[a-zA-Z_](\\w|[_.-])*)'	1500
'([+*/\\%^\\&|-]|<<|>>|\\*\\*|//)='	1621
'<field>((?:[^<]|<(?!/))*)</field>'	780
'^(In \\[\\d+\\]: |\\s*\\.{3,}: ?)'	1580
'(ns3::|::ns3::|)Ptr<([^>]+)>\\s*$'	1216
'#([A-Fa-f0-9]{6}|[A-Fa-f0-9]{8})$'	550
'[\\d]+(-|/)[\\d]+(((-|/)[\\d]+)*)'	330
'^(\\d+)(k|m|g|t|p|kb|mb|gb|tb|pb)$'	990
'\\s(?=days?|months?|years?|weeks?)'	1488
'(?<=content-type:\\s).*?(?=\r\n|$)'	436
'&([a-zA-Z][-.a-zA-Z0-9]*|#[0-9]*)?'	330
'^\\s*<(?:div|table)(?:\\s+[^>]+)?>'	1258
'/(en-US|es)/firefox/addon/(\\d+)/$'	391
'^(http|ftp):\\/\\/[\\w.]+\\/(\\S*)'	826
'^[ ]{0,3}((\\d+\\.)|[*+-])[ ]+(.*)'	236
'\\[(\\d+):(\\d\\d)([\\.:]\\d+|)\\]'	1431
'(?<=\\(|\\))?[a-z|A-Z|0-9]*(?=\\()'	152
'^((?:\\w|-|_|\\.)+)(?:\\[(.*)\\])?$'	897
'^\\s*(class|function) [A-Za-z0-9_]+'	1426
'[\\s\\S]*(exception|error)[\\s\\S]*'	1007
'^(.*[^a-z0-9\\n])?(chown|chmod) +.*'	1465
'([A-Za-z_]+)\\s*(::|[-=]+>)\\s*(.+)'	1248
'(^|.*[^\\\\])(?P<obr>\\[)[^\\]]*\\Z'	866
'(?is)<(script|style).*?>.*?(</\\1>)'	1248
'^(.*?)\\b(2|R_386_PC16)\\s+(__\\w+)$'	1580
'[-d]  (setuptools|distribute)-[^-]+-'	313
'(?P<text>(\\w|[-])*[*?](\\w|[-*?])*)'	951
'a:(link|visited|active|hover|focus)*'	498
'^Type:.((Server|Storage|Unknown).*)$'	225
'<a href="(?!http|ftp|mailto|/).*</a>'	200
'(ht|f)tp(s)?://.*.(jpg|png|gif|jpeg)'	539
"(?i)(.)('ll|'re|'ve|n't|'s|'m|'d)\\b"	1248
'\\b(\\w+)=(?:\'([^\']*)\'|"([^"]*)")'	1569
'^/(?:usr/(?:s?bin|games)|s?bin)/(.*)'	1226
'.*(-mm[0-9]+|-git[0-9]+)\\.(bz2|gz)$'	560
'GNTP/1.0 (-OK|-ERROR|-CALLBACK) NONE'	750
' (Allocated at|Reported( again)? at)'	1007
'((?:|.*/)distribution/extensions/.*)/'	1007
'(\\d{1,3}(\\,\\d{3})*|\\d+)(\\.\\d+)?'	1488
'[\\s,\\(](?:_([0-9]+))(?=$|[\\s,\\)])'	1249
'(^|\\s)(or|and|not|OR|AND|NOT)($|\\s)'	1001
'^https?://[^/]*?(\\w+\\.\\w+)($|/.*$)'	305
'^(<=|>=|<|>|!=|==|~=)?\\s*([^\\s,]+)$'	1594
'([^\\r\\n]*)(?:\\r\\n|\\n\\r|\\n|\\r)'	813
'(|.*/)applications/(?P<appname>[^/]+)'	1247
'^([_A-Za-z][_A-Za-z0-9]*|\\.|\\.\\.)$'	83
'([^: \t\n]*)\\s*:\\s*(".*"|[^ \t\n]*)'	903
'/(en-US|es-ES)/firefox/addon/(\\d+)/$'	872
'^(http|ftp):\\/\\/[\\w.\\-]+\\/(\\S*)'	826
'^/usr(/share|/X11R6)?/(doc|man|info)/'	1226
'(?:firebird|postgres(?:ql)?)_returning'	1469
'\\(pymacs-(defun|python) \\. [0-9]*\\)'	297
'[ \t]+(modified|deleted|new file): +.+'	1540
';?\\s*end(?:\\s*$|\\s+(?:while|until))'	407
'(?:Default-Start|chkconfig):\\s*[2345]'	944
'This is (pdfTeXk|latex2e|latex|XeTeXk)'	31
'(?<=\\()(?:[^()]+|\\([^)]+\\))*(?=\\))'	539
'Picked: (setuptools|distribute) = \\S+'	313
'/(release|recording)/([0-9a-z\\-]{36})'	913
'^.*(\\d+){(\\+|-)(\\d+),(\\d+),(.)}.*$'	1644
'lib/(python[^/]*)/(dist|site)-packages'	944
'.* (FATAL|ERROR|WARN|INFO|DEBUG|TRACE)'	1570
'([^%]|^)\\\\makeindex(\\[([\\w]+)\\])?'	31
'(?P<number>[\\d]+)(?P<ord>st|nd|rd|th)'	1340
'([0-9]+):(.+?)( \\(([0-9]{4})\\)\n|\n)'	506
"^(\\S+) == (u?'[^']*'|\\([0-9, ]+\\))$"	220
'^\\s*(def|class) [A-Za-z0-9_]+\\s*\\(?'	1426
'AJSDeferred =(.|\n)*\n};//End deferred'	56
'((^|\\n)[^%]*?)\\\\begin\\{document\\}'	31
'^(news|telnet|nttp|file|http|ftp|https)'	1635
'^([a-zA-Z_]\\w*)(\\.|:)([a-zA-Z_]\\w*)$'	975
'.*perl.*/(\\.packlist|perllocal\\.pod)$'	1226
'^(([^\\s\\.#]+\\.)|\\.)*([^\\s\\.#]+)?$'	557
'^(display|border_[a-z]+_(width|color))$'	1438
'^(?P<type>Error|Warning): (?P<error>.+)'	1025
'^(\\(*time|(.*\\s+time))\\s+<\\s+(\\d+)'	317
'^(kv|timers|counts|gauges|sets)\\.(.+)$'	905
'/(UserId|USERID|userId|userid|uid|Uid)='	496
'&(#?[xX]?(?:[0-9a-fA-F]+;|\\w{1,32};?))'	1580
'^(\\(*time|(.*\\s+time))\\s+>\\s+(\\d+)'	317
'(?i)(?<![A-Z])E([ABCD]X|[SD]I)(?![A-Z])'	1580
'(browser|test)_.+\\.(xul|html|js|xhtml)'	1007
'^\\[BGN\\] (Copying|Deleting|Updating) '	1573
'^/etc/(bash_completion\\.d|profile\\.d)/'	1226
'[-d]  (setuptools|distribute)-\\S+[.]egg'	313
'(.*)(pop=&|&pop=|pop=|pop&|&pop|pop)(.*)'	884
'(<li>.*? \\.\\.\\.\\. )(.*?)(</li>|<br>)'	1469
'([d-]  )?(setuptools|distribute)-\\S+-py'	313
'\\*(fore|back)ground:[ ]*(#[A-Za-z0-9]*)'	1365
'(?P<rule>(\\\\.|[^#])*)(?P<comment>#.*)?'	1248
'ip(engine|controller)-.+\\.(log|err|out)'	1580
'^\\s*(.*)\\s+(include|script)\\s+(\\S+)$'	1007
'^(\\(*time|(.*\\s+time))\\s+<=\\s+(\\d+)'	317
'GNTP/([^ ]+) (-OK|-ERROR|-CALLBACK) NONE'	750
'([0-9]+)[ \t]*([<>][=]?|=)[ \t]*([0-9]+)'	557
'<br />(<span class="k">(IN|LIKE)</span>)'	1363
'^(\\(*time|(.*\\s+time))\\s+>=\\s+(\\d+)'	317
'@(\\w+)\\s([^#\n]*)(\\s+#\\s*([^\n]*)|$)'	1315
'^([0-1][0-9]|[2][0-3]|[0-9]):[0-5][0-9]$'	826
'([0-9a-fA-F]{8}|[0-9a-fA-F]{16}) <(.*)>:'	534
'^\\s*([^\\s]+)(?:(?:\\s*=\\s*)|\\s+)(.+)$'	1094
'(<|^)(sip|sips|tel):(?P<phoneno>\\+?\\d+)'	174
'\\$(?:([^\\$\\}\\{]+)|\\{([^\\$\\}]+)\\})'	557
'^(?! {4}|\\t).*\\w+(?<!_)_\\w+_\\w[\\w_]*'	485
'\\s*(class|def)\\s+[a-zA-Z_][a-zA-Z0-9_]*'	498
'https?://github.com/([^/]+/[^/]+)($|/.*$)'	1025
'^(ElementArc|ElementLine|Element|Pin|Pad)'	83
'%\\((\\w+)\\)(?:s|[\\d]*d|\\d*.?\\d*[fg])'	1258
'^#\\s*cython\\s*:\\s*((\\w|[.])+\\s*=.*)$'	1621
'^def\\s+(?!(_|test))[^(]*\\(\\s*\\)\\s*:$'	787
'LaTeX Warning:.*?input line (\\d+)(\\.|$)'	31
'^(?:(\\.+|\\++|\\-+)(\\.)?\\s+)?(-{3}-*)$'	1247
'(^|\\s+|[^\\\\])@([a-zA-Z_][a-zA-Z0-9_]*)'	44
'^(?!join|order|complement)([^\\:]+?):(.*)$'	1302
' a/(.*?) b/(.*?)( (copy|rename) from .*)?$'	1426
'<[^>]*?id\\s*=\\s*("|\')(.*?)("|\')[^>]*?>'	719
'content-location:\\shttp.?://.*?(?=\r\n|$)'	436
'(\\A|^)module\\s+(?P<name>\\w+)\\s*(!.*|)$'	356
'(setuptools|pkg_resources|distutils)(\\.|$)'	1580
'^HPHP::(TypedValue|VM::Cell|Variant|VarNR)$'	218
'^@(interface|implementation|class|protocol)'	1426
'\\s*(([\\\'"])(.*?[^\\\\])\\2)\\s*([},=]|$)'	727
'^(([0-9a-z_]{2,}\\.)|\\.)*([0-9a-z_]{2,})?$'	557
'[uU]?[rR]?(\\"\\"\\"|\\\'\\\'\\\'|\\"|\\\')'	1248
'http://\\S*.youtu(\\.be|be\\.com)/watch\\S*'	1247
u'Apple (?:clang|LLVM) version (\\d+\\.\\d+)'	1007
'You have received (a|\\d+) .*new response.*'	819
'(?P<nonterminal>(\\.|[^:])*)(:(?P<rule>.*))'	1248
'\\s+((\\w*?):.*?{(.|\n)*?\n\\s*})(,|\n+})\n'	56
'\\s*([^\\\'"\\s{},=][^{},=]*?)\\s*([},=]|$)'	727
'[\\-]{5}END( RSA| DSA)? PRIVATE KEY[\\-]{5}'	1315
'Mozilla (Firefox|Iceweasel) ((\\d+)\\.\\S*)'	247
'http(s)?://(.*).(jpg|jpeg|png|gif|tiff|bmp)'	539
'^(variable\\w*|parameter|options|notebook)$'	633
'^(\\d|[0-1]\\d|2[0-3]):[0-5]\\d(:[0-5]\\d)?$'	729
'[ \\t\\r\\n]*(?:(?:#[^\\n]*)?\\r?(?:$|\\n))?'	55
'(.*)(?P<rating>(explicit|questionable|safe))'	539
'(?:@?[a-zA-Z0-9_$]+(?:://|::|->|:|/|@|\\.))+'	407
'((\\[\\w*|[0-9]+\\.)(\\:|)).*(\\]|\\.[0-9]+)'	705
'^[A-Z][a-z0-9]*(([0-9]+)|([A-Z][a-z0-9]*))*$'	1426
'(.+)(?:(?<!<br>)|(?<!<br />))\\n(?![#*\\s|])'	1267
'(\\d*.?\\d+).(sec|hour|day|week|month|year)+'	1469
'^(?:[A-Z]{1}\\.{1}|[A-Z]{1}\\.{1}[A-Z]{1})+$'	1561
'[-+]?(\\d+(\\.\\d*)?|\\.\\d+)([eE][-+]?\\d+)?'	380
'(\\w+) (\\d+), (\\d+) @ (\\d+):(\\d+) (am|pm)'	1079
'^(ip_tables|iptable_filter|iptable_nat)[ \\t]'	826
'((jump)|(jcnd))=([0-9]+)\\s(?P<lineno>[0-9]+)'	356
'^(?P<from>(?:\\d+|\\S))-(?P<to>(?:\\d+|\\S))$'	1583
'\\((DEBUG|INFO|WARNING|ERROR|SEVERE)/[0-4]\\)'	1087
'(\\$|\\\\\\()\\\\alpha(\\$|\\\\\\)) latex math'	1580
'(?si)<\\s*?(script|style|noscript)\\b.*?</\\1>'	37
'^^(?P<from>(?:\\d+|\\S))-(?P<to>(?:\\d+|\\S))$'	1583
'(<(?:style|script)[^>]*>.+</(?:style|script)>)'	634
'^(.*:.*/(jobmanager|nordugrid|cream)-.*?)-(.*)'	1205
'(-)?(?:"([^"]*)"|\\\'([^\\\']*)\\\'|([^\\s]+))'	1258
'^(BUGFIX|NEW|FEATURE|CHANGE|DEPRECATED): *(.*)'	1528
'(([a-zA-Z_]+[0-9_]*)|([\\)\\]])+)((\\.)|(->))$'	626
'(\\[(?P<link>[^\\]]+(.jpg|.jpeg|.gif|.png))\\])'	190
'^(\\s*(\\[\\[image((\\(.*\\))|())\\]\\])\\s*)+$'	190
'^.*?/hadoop-hadoop-(jobtracker|namenode).*.out$'	542
'^[ \\t]*LOG[ \\t]*=[ \\t]*(?:(?:Y(?:ES)?)|TRUE)'	534
'^(0x[0-9a-fA-F]+)(?:,(ramdisk|ipl|entry|rpm))?$'	1305
'^(Added |Removed )?(.+Sponsor) (Rep|Sen). (.+)$'	182
'\\s*([^\\s\\(\\)"\\\'\\-=,\\[\\]/]*)\\s*(\\[|/)'	1248
'#\\s*if(n?def\\s+(?P<ifdef>\\w+)|\\s+(?P<if>.+))'	533
'(.*)-(debug(info)?|devel|headers|source|static)$'	1226
'(\\s*[\\w\\W]*?(?:\\.(\\s|$)|[\\n][\\t ]*[\\n]))'	1087
'^(\\s*(\\[\\[flickr((\\(.*\\))|())\\]\\])\\s*)+$'	190
'http(s)?://(www.)?((e621)|(e926)).net/post/show/'	539
'^((?:[^-]+|-(?![0-9]))+)-([0-9][^-]*)(?:-(.*))?$'	1491
'type\\s*[(]([^)]*)[)]\\s+(?:is|==)\\s+(.*?float)'	356
'\\d{1,} (minutes|minute|hours|hour|day|days) ago'	1549
'[ ]*(/\\*\\*\\s|\\*/|\\B\\*\\s|//!)(?P<line>.*?)'	706
'^(\\d{1,2}|\\*)(?:-(\\d{1,2}))?(?:/(\\d{1,2}))?$'	1463
'(.+)\\.(sum|sum_sq|count|stdev|lower|upper|mean)$'	905
'^(\\s*(\\[\\[include((\\(.*\\))|())\\]\\])\\s*)+$'	190
'(^| )-{1,2}(?P<opt>\\S+) ?(?P<value>(\\! )?\\S+)?'	826
'^.*/(?P<step_num>\\d+)/(?P<stream>syslog|stderr)$'	542
'^\\s*(else|elif\\s.*|except(\\s.*)?|finally)\\s*:'	407
'([a-zA-Z][a-zA-Z]|[iIxX]-([a-zA-Z])+)(-[a-zA-Z])*'	1076
'^(BACKEND_PORT\\..*|INSTANCE_ID|SERVER_SOFTWARE)$'	1495
'.*[sS][0-9]{2}[eE][0-9]{2}.*\\.(mkv|avi|mpg|mp4)$'	1489
'(_controller|_test|_controller_test)?\\.(rb|yml)$'	407
'^(.*[^a-z0-9\\n])?(sudo|su +-c|system/bin/su) +.*'	1465
'(ErrorReturnCode|SignalException)_((\\d+)|SIG\\w+)'	487
'Mozilla (Firefox|Iceweasel|Fennec) ((\\d+)\\.\\S*)'	919
'([^ ]+)=(?:(?:"([^"]+)")|(?:\'([^"]+)\')|([^ >]+))'	102
'(title/tt|name/nm|character/ch|company/co)([0-9]+)'	1469
'^(-?(0|[1-9][0-9]*)(\\.[0-9]*)?([eE][+-]?[0-9]+)?)'	1181
'(\\s*(>>>|\\.\\.\\.)?\\s*)from werkzeug import\\s+'	992
'^(\\s*)(\\d+\\.\\s+|\\-\\s+|\\+\\s+|\\*\\s+)?(.*)$'	362
'(http://(?:www\\.)?s[ia]mplecd\\.\\w+/)(id|entry)/'	1569
u'^(display|(border_[a-z]+|outline)_(width|color))$'	1438
'^[a-z][a-z0-9]*(_+(([0-9]+)|([a-z][a-z0-9]*)))*_*$'	1426
'[\\n]*[\\-]{5}BEGIN( RSA| DSA)? PRIVATE KEY[\\-]{5}'	1315
'https?://?([-\\w.]*\\.)?digg\\.com/\\w+\\.\\w+(/|$)'	200
'(/.*?)(\\(([0-9]+)\\)|):.*(Error|Warning):\\s*(.*)$'	31
'(zc.buildout|setuptools)( version)? \\d+[.]\\d+\\S*'	313
'(?s)(?<=\\n)([|][|].*?[|][|])(?=\\n[^|]|\\n[|][^|])'	138
'^P (mappage|pointerpage|datapage) (0x[0-9a-fA-F]+)$'	534
'^.*(HEAD|GET|POST|PATCH|PUT|DELETE)\\s+(/[^ \n]*).*$'	1311
'\\,( )*?(?P<alignment>(right)|(left))( )*?(\\,){0,1}'	190
'TEST-(PASS|FAIL|RESULT.*?):\\s+(.*?)\\s+(.*?)\\r*\\n'	1243
'^(svn\\+ssh|http|https|svn)://([-a-zA-Z0-9.]*@)(.*)$'	1218
'<(ENAMEX|NUMEX|TIMEX)\\s+[^>]*?TYPE="(?P<type>\\w+)"'	1488
'^\\(([0-9a-fx]+),([0-9a-fx]+)\\) (.*) (RET|Retired)$'	1432
'invalid input syntax for type (cidr|inet): "([^"]+)"'	735
'\\+\\+\\+\\s.+\\s+\\((working copy|revision \\d+)\\)'	1644
'^[\\s\\S]+?(?=[\\\\<!\\[_*`~$]|https?://| {2,}\\n|$)'	1580
'(?i)fec\\s*-\\s*(\\d+)(\\.?$|\\s+|\\*BD[0-9a-f]{4}$)'	55
'(\\/app\\/views|controllers|helpers|test|spec)\\/(.*)'	1025
'<![ \r\n\t]*(--([^\\-]|[\r\n]|-[^\\-])*--[ \r\n\t]*)>'	347
'http(s)?://(www.)?derpiboo((.ru)|(ru.org))(/images)?/'	539
'.*((\\.textile$)|(\\.markdown$)|(\\.org$)|(\\.html$))'	102
'\\s*([bB]asic|[dD]igest)\\s+(?:[\\w]+="[^"]+",?\\s*)?'	1076
'^calls=\\s*(\\d+)\\s+((\\d+|\\+\\d+|-\\d+|\\*)\\s+)+$'	1576
'(\\w+)(?:\\:(\\w+))?@([\\w-]+(?:%)?(?:\\.[\\w-]+)*|%)'	873
'^(\\(*\\d+\\s*[<>=!]+\\s*\\d+\\)*\\s*(and|or)?\\s*)+$'	605
'(zc.buildout|setuptools)-\\d+[.]\\d+\\S*-py\\d.\\d.egg'	313
'\\A[\\+\\-]?\\d+(?:W\\d+)?(?:T\\d+(?:Z|[+-]\\d+)?)?\\Z'	1571
'(?:aka|birth name) (<em>")(.*?)"(<br>|<\\/em>|<\\/td>)'	1469
'(?P<proc_pname>\\w+)=(?P<proc_pval>".*?"|\'.*?\'|\\w+)'	1258
'(`(?:[^`]|``)+`|\\w+)(?:(?:\\:)(`(?:[^`]|``)+`|\\w+))?'	873
'(?:int|char)(?:\\s+\\*?\\s*|\\s*\\*?\\s+)([a-zA-Z_].*)'	1495
