'[aeiouy]'	866,1184
'        # A numeric string consists of:\n#    \\s*\n    (?P<sign>[-+])?              # an optional sign, followed by either...\n    (\n        (?=[0-9]|\\.[0-9])        # ...a number (with at least one digit)\n        (?P<int>[0-9]*)          # having a (possibly empty) integer part\n        (\\.(?P<frac>[0-9]*))?    # followed by an optional fractional part\n        (E(?P<exp>[-+]?[0-9]+))? # followed by an optional exponent, or...\n    |\n        Inf(inity)?              # ...an infinity, or...\n    |\n        (?P<signal>s)?           # ...an (optionally signaling)\n        NaN                      # NaN\n        (?P<diag>[0-9]*)         # with (possibly empty) diagnostic info.\n    )\n#    \\s*\n    \\Z\n'	287,602,1509
'        # A numeric string consists of:\n#    \\s*\n    (?P<sign>[-+])?              # an optional sign, followed by either...\n    (\n        (?=\\d|\\.\\d)              # ...a number (with at least one digit)\n        (?P<int>\\d*)             # having a (possibly empty) integer part\n        (\\.(?P<frac>\\d*))?       # followed by an optional fractional part\n        (E(?P<exp>[-+]?\\d+))?    # followed by an optional exponent, or...\n    |\n        Inf(inity)?              # ...an infinity, or...\n    |\n        (?P<signal>s)?           # ...an (optionally signaling)\n        NaN                      # NaN\n        (?P<diag>\\d*)            # with (possibly empty) diagnostic info.\n    )\n#    \\s*\n    \\Z\n'	1054,1087,1580
'    # indirect offset\n                ^\\(\n                (?P<base>&?0                  # just zero\n                        |&?[1-9]{1,1}[0-9]* # decimal\n                        |&?0[0-7]*          # octal\n                        |&?0x[0-9A-F]+      # hex\n                )\n                (?P<type>\n                        \\.         # this dot might be alone\n                        [BSL]? # one of this chars in either case\n                )?\n                (?P<sign>\n                        [-+]{0,1}\n                )?\n                (?P<off>0              # just zero\n                        |[1-9]{1,1}[0-9]*  # decimal\n                        |0[0-7]*           # octal\n                        |0x[0-9a-f]+       # hex\n                )?\n                \\)$'	1007,1015,1032
'\n    (?:\n        (\n            (?:\n                [a-zA-Z_][a-zA-Z0-9_]*\\s*=\\s*list\\(\n                    (?:\n                        \\s*\n                        (?:\n                            (?:".*?")|              # double quotes\n                            (?:\'.*?\')|              # single quotes\n                            (?:[^\'",\\s\\)][^,\\)]*?)       # unquoted\n                        )\n                        \\s*,\\s*\n                    )*\n                    (?:\n                        (?:".*?")|              # double quotes\n                        (?:\'.*?\')|              # single quotes\n                        (?:[^\'",\\s\\)][^,\\)]*?)       # unquoted\n                    )?                              # last one\n                \\)\n            )|\n            (?:\n                (?:".*?")|              # double quotes\n                (?:\'.*?\')|              # single quotes\n                (?:[^\'",\\s=][^,=]*?)|       # unquoted\n                (?:                         # keyword argument\n                    [a-zA-Z_][a-zA-Z0-9_]*\\s*=\\s*\n                    (?:\n                        (?:".*?")|              # double quotes\n                        (?:\'.*?\')|              # single quotes\n                        (?:[^\'",\\s=][^,=]*?)       # unquoted\n                    )\n                )\n            )\n        )\n        (?:\n            (?:\\s*,\\s*)|(?:\\s*$)            # comma\n        )\n    )\n    '	332,689,1007
'^\n    (?:\n        (\n            (?:\n                [a-zA-Z_][a-zA-Z0-9_]*\\s*=\\s*list\\(\n                    (?:\n                        \\s*\n                        (?:\n                            (?:".*?")|              # double quotes\n                            (?:\'.*?\')|              # single quotes\n                            (?:[^\'",\\s\\)][^,\\)]*?)       # unquoted\n                        )\n                        \\s*,\\s*\n                    )*\n                    (?:\n                        (?:".*?")|              # double quotes\n                        (?:\'.*?\')|              # single quotes\n                        (?:[^\'",\\s\\)][^,\\)]*?)       # unquoted\n                    )?                              # last one\n                \\)\n            )|\n            (?:\n                (?:".*?")|              # double quotes\n                (?:\'.*?\')|              # single quotes\n                (?:[^\'",\\s=][^,=]*?)|       # unquoted\n                (?:                         # keyword argument\n                    [a-zA-Z_][a-zA-Z0-9_]*\\s*=\\s*\n                    (?:\n                        (?:".*?")|              # double quotes\n                        (?:\'.*?\')|              # single quotes\n                        (?:[^\'",\\s=][^,=]*?)       # unquoted\n                    )\n                )\n            )\n        )\n        (?:\n            (?:\\s*,\\s*)|(?:\\s*$)            # comma\n        )\n    )\n    *'	332,689,1007
'[@]'	241,1249
'[ -]'	1248,1269
'[ ,]'	232,619
'[mM]'	1317,1501
'[kK]'	1317,1501
'[gG]'	1317,1501
'[ _]'	1223,1420
'[/]+'	447,877
'[. -]'	1269,1498
'[:@/]'	1415,1580
'[<>=]'	1317,1501
'[/,-]'	386,1181
'["!|@]'	757,1087
'^[#/;]'	386,1181
'([{}])'	147,181
'[\\\\]'	241,1249
'[\\\\"]'	103,130
'[xh]vc0'	1317,1501
'[\\._-]'	1263,1580
'[aeiou]'	1248,1488
'[:;,] *'	757,1087
'.py[co]$'	747,1580
'10[01].*'	340,1557
'[infINF]'	752,1194
'[ \\t:]+'	305,1505
'\n[ ]+\n'	1248,1488
'[:;, ] *'	757,1087
'[:"<>|?]'	1269,1498
'[N|n]ame'	1317,1501
'\n[ \t]*'	103,130
'[\\*\\?]'	1015,1032
'[&<]|]]>'	1076,1350
'([?*]+/?)'	636,1125
'[-+]?\\d+'	1246,1540
'[+-]?\\d+'	374,1618
'[aeiouy].'	866,1184
"([\\\\'])"	1517,1634
' ([a|b])/'	1199,1300
'[\'"\\\\]'	1248,1488
'([\\"$`])'	12,1087
'^[ \t]*\n'	12,1087
'>[ \r\n]+<'	9,16
'[x-](\\d+)'	1269,1498
u'([\\\\"])'	782,1007
"[$^#\\\\']"	52,188
'[\\\\/\\*]'	1269,1498
'[0-9][} ]*$'	518,787
'([aeiouy])y'	866,1184
'[\\r\\n\\t]'	305,1505
'[\\.\\-\\ ]'	1269,1498
'^0*(?=[01])'	1317,1501
'\n([ \t]*)$'	305,1505
'[\\.\\-\\_]'	927,1003
'[\\.\\-\\/]'	927,1003
'\\\\[ntrab]'	52,597
'\\n[\\t ]*$'	46,1050
'%([YmdHMS])'	640,662
'[EWN]\\d{3}'	1223,1420
'(.*)[-_](.*)'	1148,1469
'[{ ]*[-+0-9]'	518,787
'\\s*([-\\+])'	1248,1488
'([shv]db)\\s'	1317,1501
'^[hs]d[a-p]$'	1223,1420
'([+-]\\d{4})$'	636,1125
'^([+-]) (.*)$'	241,1249
'([^,;]+[,;]?)'	1007,1301
'^[-+]?[0-9]+$'	826,891
'\\A[ \\t]*\\Z'	43,107
'^[\\n\\r]{0,1}'	1050,1350
'[$><;[{~`|&()]'	1015,1032
'[\\[\\]\\*\\?]'	1269,1498
'[\\.\\-\\/\\_]'	927,1003
u'^[FE]?[0-9]+$'	332,689
'[&?]acl($|=|&)'	1223,1420
'([#$&%_\\${}])'	757,1087
'[\\n\\r]{0,1}$'	1050,1350
'[\\t\\b\\r\\f#]'	171,1381
'\\n\\r?[\\t ]*$'	1469,1621
'^[Mm]akefile.*$'	305,1505
'[Vv]irtio block'	1317,1501
'^\\${VISUAL[:}/]'	52,188
u'[<>:"\\?\\*\\|]'	813,927
'[Vv]irtio memory'	1317,1501
' -[HS]J \\d+;? ?'	109,182
'_\\[[Ee](\\d+)\\]'	1269,1498
'[Vv]irtio network'	1317,1501
',[ ]*([-]?\\d+|n)'	1317,1501
'([\\\'"])(.*?)\\1'	142,193
u'[/<>:"\\|\\?\\*]'	386,1181
'[ \\t]*\\.[ \\t]*'	55,908
'[vhs]d[a-z]*[\\d]+'	1317,1501
'[&?]torrent($|=|&)'	1223,1420
'^(.*[/#])([^/#]+)$'	210,253
'[&?]logging($|=|&)'	1223,1420
'["\'](.+-div)[\'"]'	757,1087
'#[ \\t]*doctest:.*'	757,1087
'[&?]location($|=|&)'	1223,1420
'(.*) ([(][^()]*[)])'	251,1087
'^[aeiouy][^aeiouy]$'	866,1184
'^[\\s\t\n]*([^\n]*)'	640,659
'[&?]versions($|=|&)'	1223,1420
'interface[ \t]+\\w+'	498,1495
'(.*?)(\\s*[\\]}].*)'	171,1381
'class[ \t]+\\w+.*?:'	498,1495
'.+[.](?<!log[.])zip'	241,1249
'^[-+]?([0][0-7,]*)$'	171,1381
'([$\\\\%&@]+)?(\\w+)'	305,1505
'[filesystem|fs] type'	1317,1501
'[0-9]+\\s+[+-][0-9]+'	103,130
'(="[^"]+")([a-zA-Z])'	109,182
'^[-+]?[a-zA-Z0-9_]+$'	391,872
'CPU Affinity: +[-y]+'	1317,1501
'[&?]versioning($|=|&)'	1223,1420
'(?<!{)(\\\\)(?![{}]})'	147,181
'([:\\-\\w]*){([^}]+)}'	753,942
'/dev/disk([0-9]+)[^s]'	1246,1540
'[\\.\\-_ ]?[Ee](\\d+)'	1269,1498
'\\n[\\t ]*\\n[\\t ]*$'	602,747
'[$][{]\\d+:([^}]+)[}]'	1025,1322
'def[ \t]+\\w+\\(.*?\\)'	498,1495
'[\x02\x1f\x16\x0f\x03]'	1269,1498
'([+-]?[\\d\\.]+)(\\S+)'	63,401
'^[-+]?0x[0-9a-fA-F,]+$'	171,1381
'^(.*?)([\\[\\*\\?].*)$'	440,542
'\\\\([.(){}[\\]"\\\\])'	440,542
'(vmlinu[xz]|kernel.img)'	171,1381
'[^%]+%[^.]+[.](compile)'	241,1249
'[/*?]|\\[[^]]*/[^]]*\\]'	737,1315
'test_(.+)\\.[json|yaml]'	811,821
'^[-+]?(0|[1-9][0-9,]*)$'	171,1381
'(?i)([\\. ])and([\\. ])'	1269,1498
'.*[/\\\\]bin[.]v2[/\\\\]'	241,1249
'([\\w\\-\\.]+)="([^"]+)"'	640,662
"([\\w\\-\\.]+)='([^']+)'"	640,662
'(?s)^(.*)(\\n[ \\t]*)\\Z'	43,107
'href\\="((?:\\w|[.-])*)"'	1015,1032
'\\d+(\\.)?\\d*[eE]-?\\d+'	518,787
'rel=[\\\'"](\\w+)[\\\'"]'	747,971
"[\\']([a-zA-Z0-9]+)[\\']"	1317,1501
"__([a-z]+)__ = '([^']+)'"	429,1582
'([idel])|(\\d+):|(-?\\d+)'	962,1557
'^[ \t]*[Xv!_][Xv!_ \t]*\n'	12,1087
'[&?]requestPayment($|=|&)'	1223,1420
'%G|\\[m|\\[[\\d;]+[HJnrm]'	1317,1501
'^([+-])(\\d{2}):?(\\d{2})$'	103,130
'h(e)l[A-Z]lo.*th[^e]*e(r)e'	171,1381
'Bill Name:\\s+([H|S]F\\d+)'	109,182
u'^[JB]?[0-9]+([.][0-9]*)?$'	332,689
'(\\A[ \n]*\n)|(\n[ \n]*\\Z)'	757,1087
'["\'](.+)["\']\\s*:\\s*(.*)'	171,1381
"\\?\\?[=/\\'\\(\\)\\!<>\\-]"	256,689
'([\\w]*)([^:=]*:?=?)([sif]?)'	602,747
'^[-+]?[0-9][0-9,]*\\.[0-9]*$'	171,1381
'[^%]+%[^.]+[.](link|archive)'	241,1249
'^([^: \t\n]+):([1-9][0-9]*):'	12,1087
'[&?]versionId=([^&]+)($|=|&)'	1223,1420
'^[modprobe|insmod].*xen-vbd.*'	1317,1501
u'(?<!\\\\)/.*?[^\\\\]/[gims]*'	1025,1322
'range\\([ ]*([-]?\\d+|n).*\\)'	1317,1501
'^[\\"\\[`\\\']|[\\"\\]`\\\']$'	1415,1580
'Linux version ([0-9.]+-[^ ]+)'	1116,1141
'(.*?)([\\\\\\{\\}\\[\\]])(.*)'	305,1505
'(<[^<>]+(?:href|src)=(["\'])/)'	1228,1231
u'^([0-9]+x)*[0-9]*[*]?(s\\W)?$'	332,689
'^([a-zA-Z]:[^(]*)\\(([0-9]+)\\)'	602,1054
'^[\\\'\\"][^\\\'\\"]+[\\\'\\"]$'	247,1007
'\\{\\%[ \\t]+(load\\b.*?)\\%\\}'	305,1505
'version *= *([\'"][^\'"]*[\'"])'	222,1486
'^(\\d+)\\s+([+-]\\d\\d:?\\d\\d)$'	103,130
'\\s*#+.*coding[:=]\\s*([-\\w.]+)'	640,662
'%\\s*#.*coding[:=]\\s*([-\\w.]+)'	1047,1277
'\\{\\%[ \\t]+(block\\b.*?)\\%\\}'	305,1505
'.*[^aeiouy][aeiouy][^aeiouywxY]$'	866,1184
'[^%]+%testing[.](capture-output)'	241,1249
'(?mi)^[ ]*\\:RequireModule:(.*)$'	757,1087
'<([a-zA-Z][a-zA-Z0-9]*)/([^/]*)/'	413,1076
'(?:require|load)\\s+[\\\'"](.*?)$'	305,1505
'.*?\\n?.*?coding[:=]\\s*([-\\w.]+)'	757,1087
'^(\\S.*?)??[=\\-\\(\\$\\\'\\"][#>]'	1087,1555
'[^aeiouy]*[aeiouy]+[^aeiouy](\\w*)'	866,1184
'^[-_a-zA-Z0-9.]+:(//[^/]*)?/[^/]*$'	55,908
'(^[ ]*[+]?[\\(\\)0-9/\\/\\.\\- ]+$)'	717,1229
'(?P<id>.*)\\s*[:=]\\s*(?P<value>.*)'	1009,1442
'.*[/\\\\](.+)(\\:\\d+|\\(\\d+\\))\\:'	1007,1301
'coding[:=]\\s*(?P<encoding>[-\\w.]+)'	305,1505
'(?i)^(\\d+(?:\\.\\d+)?)([kMGTPEZY]?)$'	386,1181
'\\smarkdown(=[\\\'"]?[^> ]*[\\\'"]?)?'	236,1395
'[^[]+\\[(\\d+/[A-Za-z]+/\\d+):[^\\d]*'	1004,1075
'(([umsg]asser(t|ted))) *\\(( *)(\\d+)'	503,656
'(([umsgf]asser(t|ted))) *\\(( *)(\\d+)'	906,1404
'[a-z]::[^=]|:[a-z]+:|`|\\.\\.\\s*\\w+:'	1087,1580
'^(\\#{1,6})[ \\t]*(.+?)[ \\t]*\\#*\\n+'	55,200
'\\{\\%[ \\t]+\\b(block|if)\\b.*?\\%\\}'	305,1505
'^([\\w\\.]+) \\.\\.\\. \\[([^\\]]+)\\]$'	1015,1032
'^[-+]?[0-9]+(\\.[0-9]*)?[eE][-+][0-9]+$'	171,1381
'[\\?#&](?P<name>[^&=]+)=(?P<value>[^&=]+)'	1263,1580
'^([^<]*)<([^>]*)>\\s+(\\d+\\s+[+-]\\d{4})$'	103,130
'^(..[^\\(:]+)?[\\(:](\\d+)[\\):]:?\\s*(.*)'	602,1054
'([A-Za-z0-9_.-]*|"[^"]*")\\s+(\\S+)\\s+(.*)'	241,1249
'\\s?["\']([a-zA-Z_"\'\\s\\d]+)["\']\\s+tset'	1025,1423
'(\\*\\*|__) (?=\\S) (.+?[*_]*) (?<=\\S) \\1'	55,200
'enum\\s*{([^}]*)}\\s*([A-Z][A-Za-z]*)(\\s|;)'	1054,1198
'importScripts\\([\\\'"]([^\\\'"]+)[\\\'"]\\)'	896,1300
'\\([^)]+\\)\\s*(([A-Za-z0-9_][A-Za-z0-9_]*))'	31,324
'^(\\[.*?[Pp][Aa][Tt][Cc][Hh].*?\\])?\\s*(.*)$'	103,130
'\\s*(<=?|>=?|===?|!=|~=)\\s*((\\w|[-.*_!+])+)'	1263,1580
'@/([^/\\\\]*(?:\\\\.[^/\\\\]*)*)*/[a-z]*(?ms)'	96,252
'href\\s*=\\s*[\'"]?<([\\w\\.]+)>[\'"]?\\s*(,?)'	757,1087
'^(.*) ?\\[([^ ]*) \\+(0x[0-9A-F]{1,8})\\](.*)$'	1015,1032
'flashvars: [\\\'"](?:.*&)?file=(http[^\\\'"&]*)'	386,1181
'/(?:[^/\\\\]*(?:\\\\.[^/\\\\]*)*)/[a-zA-Z]*(?s)'	636,1125
'[^%]+%testing[.](expect-failure|expect-success)'	241,1249
'^[ \\t]*Traceback \\(most recent call last\\):.*'	757,1087
'irb\\([a-zA-Z_][a-zA-Z0-9_]*\\):\\d{3}:\\d+[>*] '	147,181
'\\S* *\\d*-\\d*-\\d* \\d*:\\d*:\\d* [+-]\\d* \\w*'	1317,1501
'(?<!\\\\)([aAbBcdDfFgGhHiIjlLmMnNOPrsStTUuwWyYzZ])'	1004,1495
'(?P<op>([<>=!~]=)|[<>])\\s*(?P<vn>(\\w|[.-])+\\*?)'	1263,1580
'(([wum]asser(t|ted)))\\s*\\(([^\\d]*)(\\d+)\\s*,?()'	1459,1531
'^(.+?)[ \\._\\-]\\[?([0-9]+)((?:[x-]\\d+)+)[^\\/]*$'	1269,1498
'([+-]\\(.*?\\)|\\(.*?\\)[\\*\\+]|\\(.*?\\))(?:\\s|$)'	305,1505
' (SENATOR|REPRESENTATIVE)\\([Ss]\\) ([^,]+(,[^,]+){0,})'	109,182
'(^[ \\t]*In \\[\\d+\\]: |^[ \\t]*\\ \\ \\ \\.\\.\\.+: )'	422,1517
'(?P<names>\\w+[-A-Za-z0-9|]*)?(?P<spec>!|[=:][infs]@?)?'	602,747
'(?P<code>[ADEFIJ])(?P<width>\\d+)(?:\\.(?P<prec>\\d+))?'	332,689
'(\\d+ bytes).*?([\\d\\.]+ s).*?([\\d\\.]+ [KkMmGgTt])B/s'	1317,1501
'(?P<prefix>[+-])(?P<hours>[0-9]{2}).(?P<minutes>[0-9]{2})'	897,1580
'^([ \\|0-9-]*)(.*) ?\\[([^ ]*) \\+(0x[0-9A-F]{1,8})\\](.*)$'	1015,1032
'((?:[^{}]?[<>=^])?)([-+ ]?)(#?)(\\d*)(,?)((?:\\.\\d+)?)(.?)$'	568,1144
'(?P<key>.*)\\s*=\\s*u?\\[?[\\\'\\"](?P<value>.*)[\\\'\\"]\\]?'	295,1496
'^     Page [1-9][0-9]*[ \t]+\\|^.*Last change:.*[1-9][0-9]*\n'	12,1087
'^(.+?)[ \\._\\-][Ss]([0-9]+)((?:[\\.\\-_ ]?[Ee]\\d+)+)[^\\/]*$'	1269,1498
'/\\* \\[([^\\]]*.*?)] \\*/[ \\t](.*[* ]+)(\\w+)(\\[ *])?[\\),]'	602,1054
'^(.+?)[ \\._\\-]\\[[Ss](\\d+)\\]((?:_\\[[Ee]\\d+\\])+)[^\\/]*$'	1269,1498
'use\\s+encoding(?:::source)?\\s+([\'"])(?P<encoding>[\\w-]+)\\1'	305,1505
'%(?:%|(\\(\\w+\\))?([#0 +-]?(?:\\d+|\\*)?(?:\\.\\d+)?[hlL]?\\w))'	1223,1420
'^\\s*([\\w\\s\\*]+)\\(\\s*\\*\\s*(\\w+)\\s*\\)\\s*\\(([^()]*)\\);'	1054,1198
'(([wum]asser(t|ted))) *\\(( *)(\\d+) *,\\s*("\\S[^"]+\\S")\\s*,?.*'	1459,1531
'(\\w{3}, \\d{1,2} \\w{3} \\d{4} \\d\\d:\\d\\d:\\d\\d) [\\+\\-]\\d{4}'	1269,1498
'(([wum]asser(t|ted))) *\\(( *)(\\d+) *,\\s*([\\S\\s+<\\(\\)"]+) *,?.*'	1459,1531
'^([-]+BEGIN CERTIFICATE[-]+[\\r]*\\n.*[\\r]*^[-]+END CERTIFICATE[-]+)$'	1087,1580
'(?<![\\\'\\"])require\\s*\\(\\s*[\\\'\\"]([^\\\'\\"]+?)[\\\'\\"]\\s*\\)'	247,1007
'[ ]*(?P<arg>.*?=(?:(?:[^"\']*?)|(?:"[^"]*")|(?:\'[^\']*\')))[ ]*[,\r\n]'	1232,1233
'\\b((http|ftp)://[^ \\t\\n\\r\\f\\v<\'"]+|RFC[- ]?(\\d+)|PEP[- ]?(\\d+))'	305,1505
'\\d+-\\d+-\\d+([\\s|T|t]\\d+:\\d+:\\d+.\\d+(Z|(\\s?[\\-|\\+]\\d+:\\d+)))?'	171,1381
'([^:]*):\\s+scsi([0-9]+)\\s+channel=([0-9]+)\\s+id=([0-9]+)\\s+lun=([0-9]+)'	779,1407
'([ \t(]|^)([-a-zA-Z0-9_+]*[\x7f-\xff][-a-zA-Z0-9_+\x7f-\xff]*)(?=[ \t)]|\n)'	602,1509
'\\b(([\\w-]+://?|www[.])[^\\s()<>]+(?:\\([\\w\\d]+\\)|([^[:punct:]\\s]|/)))'	274,573
'(?P<before>.*?)[\\(]host (?P<host>\\S+) (?P<action>[^:]+): (?P<message>.*)[\\)]'	440,542
'([\\w.+]+)\\s*\\(#?([^,]+),\\s*([\\w ]+),\\s*([\\w :]+)\\)\\s*\\[PyPy [^\\]]+\\]?'	1054,1087
'[\\.\\-\\/\\!\\@\\#\\$\\%\\^\\&\\*\\(\\)\\+\\-"\'\\,\\;\\:\\[\\]\\{\\}\\<\\>\\=\\_]'	927,1003
'^((http[s]?):\\/)#?\\/?([^:\\/\\s]+)((\\/[\\w\\-\\.]+)*\\/)*([\\w\\-\\.]+[^#?\\s]+)'	1028,1039
'(require|define)\\s*\\(\\s*([\\\'\\"][^\\\'\\"]+[\\\'\\"]\\s*,)?\\s*\\[([^\\]]+)\\]'	247,1007
'<meta[^>]*content\\s*=\\s*[\'"]?text/html;\\s*charset\\s*=\\s*([^ \'">]+)\\s*[\'"]?[^>]*>'	1228,1231
'(?P<fence>^~{3,})[ ]*\\n(?P<code>.*?)(?P=fence)[ ]*(\\{\\.(?P<lang>[a-zA-Z0-9_-]*)\\})?[ ]*$'	236,1395
"((?P<prefix>[$@%\\\\*&]+)\\s*)?(?P<scope>(::)?\\b((?!\\d)\\w*?(::|'))*)(?P<name>(?!\\d)\\w+)$"	305,1505
'(\\s*)((BOOST_STATIC_CONSTANT\\(\\s*\\w+,\\s*|enum\\s*\\w*\\s*{\\s*)value\\s*=)(.*?)([}|\\)];)$'	241,1249
'\\\\(\\\'|\\"|\\\\|[abfnrtv]|x.{0,2}|[0-7]{1,3}|u[0-9a-fA-F]{0,4}|U[0-9a-fA-F]{0,8}|N\\{.+?\\})'	251,1087
'(abstract[ \t]+)?((public|private|protected)[ \t]+)?(static[ \t]+)?function[ \t]+?\\w+\\(.*?\\)'	498,1495
'^((?:\\(\\S+\\))?(?:|sh\\S*?|\\w+\\S+[@:]\\S+(?:\\s+\\S+)?|\\[\\S+[@:][^\\n]+\\].+)[$#%])(.*\\n?)'	1087,1555
'(I[0-9a-f]{8,40})|([Bb]ug|[Ll][Pp])[\\s\\#:]*(\\d+)|([Bb]lue[Pp]rint|[Bb][Pp])[\\s\\#:]*([A-Za-z0-9\\-]+)'	1223,1420
'^((?P<retval>[^=]+?)\\s*=|class)?\\s*(?P<head>[\\w\\.]+\\s?\\(.*?\\))\\s*(?P<sep>[:<>=-]*)\\s*(?P<tail>.*)$'	305,1505
'(\'[^\']*\'|"[^"]*"|::|//?|\\.\\.|\\(\\)|[/.*:\\[\\]\\(\\)@=])|((?:\\{[^}]+\\})?[^/:\\[\\]\\(\\)@=\\s]+)|\\s+'	72,1087
'(?x)(\n        (?:0|[1-9]\\d*)\n        (\\.\\d+)?\n        ([eE][-+]?\\d+)? |\n        (0x[a-fA-F0-9]+)\n    )'	636,1125
'((final|abstract)[ \t]+)?((public|private|protected)[ \t]+)?(static[ \t]+)?class[ \t]+\\w+((implements|extends)\\w+)?'	498,1495
'\\s*([a-zA-Z_][-:.a-zA-Z_0-9]*)[$]?(\\s*=\\s*(\\\'[^\\\']*\\\'|"[^"]*"|[][\\-a-zA-Z0-9./,:;+*%?!&$\\(\\)_#=~\\\'"@]*))?'	666,707
'(?P<year>\\d{4})-(?P<month>\\d{2})-(?P<day>\\d{2})[T ](?P<hr>\\d{2}):(?P<min>\\d{2}):(?P<sec>\\d{2})(?P<fractional_sec>\\.\\d+)?'	159,1155
'^(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)$'	317,945
'(?P<name>\\w+)\\s+(?P<type>[A-Za-z]+|\\(.*?\\))\\s+(?P<default>#REQUIRED|#IMPLIED|\\w+|(?:#FIXED)?((?:")([^"]*?)(?:")|(?:\')([^\']*?)(?:\')))\\s*(?:--(?P<comment>.*?)--)?'	305,1505
'(?x)\n    \\%\n        (?:\\(([\\w]*)\\))?\n        (\n            [-#0\\ +]?(?:\\*|[\\d]+)?\n            (?:\\.(?:\\*|[\\d]+))?\n            [hlL]?\n        )\n        ([diouxXeEfFgGcrs%])\n'	636,1125
'^(?P<filetype>.)(?P<perms>.{9})\\s+(?P<nlinks>\\d*)\\s*(?P<owner>\\S+)\\s+(?P<group>\\S+)\\s+(?P<size>\\d+)\\s+(?P<date>...\\s+\\d+\\s+[\\d:]+)\\s+(?P<filename>([^ ]|\\\\ )*?)( -> (?P<linktarget>[^\\r]*))?\\r?$'	1223,1420
'<[a-zA-Z][-_.:a-zA-Z0-9]*\\s*(\\s*([a-zA-Z_][-:.a-zA-Z_0-9]*)(\\s*=\\s*(\\\'[^\\\']*\\\'|"[^"]*"|[-a-zA-Z0-9./,:;+*%?!&$\\(\\)_#=~@][][\\-a-zA-Z0-9./,:;+*%?!&$\\(\\)_#=~\\\'"@]*(?=[\\s>/<])))?)*\\s*/?\\s*(?=[<>])'	1087,1580
u'\n    ::(?=[^=])|            # two :: (but NOT ::=)\n    :[a-zA-Z][a-zA-Z0-9]+| # :foo\n    `|                     # ` (seldom used by itself)\n    (?<!\\.)\\.\\.[ \\t]*\\w+:  # .. foo: (but NOT ... else:)\n    '	1087,1580
'(?P<year>[0-9]{4})(-(?P<month>[0-9]{1,2})(-(?P<day>[0-9]{1,2})((?P<separator>.)(?P<hour>[0-9]{2}):(?P<minute>[0-9]{2})(:(?P<second>[0-9]{2})(\\.(?P<fraction>[0-9]+))?)?(?P<timezone>Z|(([-+])([0-9]{2}):([0-9]{2})))?)?)?)?'	897,1580
'\n    ^\n    [ \\t]*\n    (?: if\n    |   for\n    |   while\n    |   else\n    |   def\n    |   return\n    |   assert\n    |   break\n    |   class\n    |   continue\n    |   elif\n    |   try\n    |   except\n    |   raise\n    |   import\n    )\n    \\b\n'	602,1054
'^\n\\s*((?:-|\\w|\\&|\\*)+)   # return type\n\\s*                    # skip whitespace\n\\(\\s*\\*\\s*             # opening (\n([a-z]\\w+)\\)           # match the function name until the closing )\n\\s*\\(\\s*([^)]*)\\).*      # group the function arguments\n$'	1054,1198
'<\\?xml\n            (   # strict ordering is reqd but we\'ll be liberal here\n                \\s+version=[\'"](?P<ver>.*?)[\'"]\n            |   \\s+encoding=[\'"](?P<enc>.*?)[\'"]\n            )+\n            .*? # other possible junk\n            \\s*\\?>\n        '	305,1505
u'\n            ([a-zA-Z]+        #Tag\n            \\s?[0-9]+):       #Tag number\n            \\s+[+-]           #Temp signed\n            ([0-9]+\\.[0-9]+)  #Temp value\n            (\\xc2\\xb0         #\xb0 match\n            [CF])             #Celsius or Fahrenheit\n            '	1127,1380
'\n    (\\n)?                            # leading line = $1\n    (^[ \\t]*)                        # leading whitespace = $2\n    ([*+-]|\\d+[.]) [ \\t]+            # list marker = $3\n    ((?:.+?)                         # list item text = $4\n    (\\n{1,2}))\n    (?= \\n* (\\Z | \\2 ([*+-]|\\d+[.]) [ \\t]+))\n    '	55,200
'    # A numeric string consists of:\n    (?P<sign>[-+])?          # an optional sign, followed by\n    (?=\\d|\\.\\d)              # a number with at least one digit\n    (?P<int>\\d*)             # having a (possibly empty) integer part\n    (?:\\.(?P<frac>\\d*))?     # followed by an optional fractional part\n    (?:E(?P<exp>[-+]?\\d+))?  # and an optional exponent\n    \\Z\n'	1087,1580
'\n        <!DOCTYPE\n        \\s+(?P<name>[a-zA-Z_:][\\w:.-]*)\n        \\s+(?:\n            SYSTEM\\s+(["\'])(?P<system_id_a>.*?)\\2\n            |\n            PUBLIC\n            \\s+(["\'])(?P<public_id_b>.*?)\\4\n            # HTML 3.2 and 2.0 doctypes don\'t include a system-id.\n            (?:\\s+(["\'])(?P<system_id_b>.*?)\\6)?\n        )\n        (\\s*\\[.*?\\])?        \n        \\s*>\n        '	305,1505
' (                       # wrap whole match in $1\n                  !\\[\n                    (.*?)               # alt text = $2\n                  \\]\n\n                  [ ]?                  # one optional space\n                  (?:\\n[ ]*)?           # one optional newline followed by spaces\n\n                  \\[\n                    (.*?)               # id = $3\n                  \\]\n\n                )\n    '	55,200
